id,team_id,odds_decimal,odds_fractional,fetched_at
1ec3a110-1e5d-4ba2-9471-5b91d2e2eed6,fcc03c57-8857-4986-98b0-0e30fb42ab2a,29,28/1,2026-07-08 21:00:16.181+00
1ed923c2-2d6c-48ed-93a0-bff75d0bf483,910a4a31-591d-4c32-8b57-b0d0bbde5a26,81,80/1,2026-06-07 15:15:06.38+00
202d644e-66ab-4bbe-8b72-a9bc18df4bce,600575e1-d737-452a-abec-c6e22da92787,1001,1000/1,2026-05-22 13:11:30.343+00
2190e107-69fa-496c-8d48-9ae7a9cf7360,cd984ce3-2f2c-41d5-a7ba-137060caf8ae,126,125/1,2026-06-18 12:42:27.657+00
21ca2d01-350d-4685-ad88-8b9e664a70c2,8cccecd8-b1ab-4159-bf35-29ef0db369c4,101,100/1,2026-06-24 06:19:29.232+00
21fbf720-5861-493f-8311-3dcf06b27310,20e98c7a-4548-44f8-964d-7aba42ae7624,41,40/1,2026-06-29 23:44:55.782+00
22a224f9-2bf6-4b39-a0f3-6d8622c3c3d3,cffa413c-8c76-45a6-843e-87c34e78e45a,17,16/1,2026-06-26 10:34:54.912+00
23d5859f-ebfa-4c33-ac44-a101aece81fe,ef919163-49fb-4cc5-ab4e-f55d9419d806,1501,1500/1,2026-05-22 13:11:30.343+00
23e11fc2-b893-4688-8c2f-517f1ecc853b,cba2c884-3603-4b90-976e-49389b04f562,15,14/1,2026-06-23 11:50:21.932+00
2497dae8-a9ad-469f-bf71-1ddcb1188e22,54ef8b7c-5afd-4a48-a3b9-d6701dd757f9,151,150/1,2026-06-07 15:15:06.38+00
24b093e7-9ce1-473a-b2d3-01eb3a5dfc6f,8682004e-e186-4705-aa29-9704b2815dc4,41,40/1,2026-07-04 17:05:34.989+00
24cc9c2e-a3ca-440a-9d32-4aa857ebf310,ee8ecff9-d0b1-4aa8-ab21-da08a6c9229a,85,84/1,2026-04-21 12:08:49.475+00
27a8af92-8959-4d37-95af-8b7e1afc789a,87881cf2-7a14-4afa-9912-0ef5b2672387,151,150/1,2026-06-14 18:43:53.623+00
28165f56-7b90-4fd3-890b-20e78326b18c,a1cbc3f2-826a-4c04-803b-b5c2930d3c42,501,500/1,2026-05-22 13:11:30.343+00
28bf7473-b6ca-4a7e-82b3-8865c0cc2ce9,f2c7a0c3-9a4c-4e3f-92a3-39abff0ce8e2,3.5,5/2,2026-06-30 17:41:19.132+00
2985445f-aee3-47ee-9da3-6dc0890645e4,20e98c7a-4548-44f8-964d-7aba42ae7624,29,28/1,2026-06-18 12:42:27.657+00
2a409455-5633-411e-8e78-791b9753a5b1,eaca3063-d90c-4007-b3d8-ba829b3ee14e,13,12/1,2026-04-24 21:33:21.013+00
2a547575-2e6f-4f36-96a2-d848324aea5b,2044181c-c7e7-4759-8101-4779166812e3,21,20/1,2026-05-22 13:11:30.343+00
2c0fde9f-bd98-4375-8330-5e11b8d17c4b,151a98cf-99e8-4e7a-ab57-396a13db4a72,100,99/1,2026-04-21 12:08:49.475+00
2c2be5d3-2f73-4a95-9891-198e5bf40240,151a98cf-99e8-4e7a-ab57-396a13db4a72,151,150/1,2026-06-23 11:50:21.932+00
2cb57193-69c2-466c-b085-d7405114fedc,6ea9375b-d599-463f-96e6-c87d9209e9b2,8,7/1,2026-07-01 18:21:56.547+00
2d501a76-2f1e-4670-9095-283ea4fc015f,ee8ecff9-d0b1-4aa8-ab21-da08a6c9229a,85,84/1,2026-04-10 09:36:20.58+00
2e14faae-6272-4a27-9a9b-abff427bec46,cba2c884-3603-4b90-976e-49389b04f562,11,10/1,2026-06-29 23:44:55.782+00
2fa8033b-a485-4809-8fbd-ec9f3ae1fdca,a681c714-630a-487f-b167-9cefea486591,501,500/1,2026-06-28 08:32:12.813+00
30e1fc34-84fe-4e4d-9abe-2e07f5bcbd50,20e98c7a-4548-44f8-964d-7aba42ae7624,15,14/1,2026-07-08 21:00:16.181+00
30e759f9-ce89-48dc-833c-6f88a8e15229,8cccecd8-b1ab-4159-bf35-29ef0db369c4,101,100/1,2026-06-22 13:54:32.611+00
30fcffa2-6bd7-4020-aca2-1913fbd2d66e,cffa413c-8c76-45a6-843e-87c34e78e45a,15,14/1,2026-06-17 22:37:07.909+00
30fe83d7-e8a7-484c-9d0b-de2bb2bcbcc7,ee8ecff9-d0b1-4aa8-ab21-da08a6c9229a,81,80/1,2026-06-18 12:42:27.657+00
319c8108-2385-435d-8a83-d373000ca054,a760ffb3-5775-4d7d-b803-cf0087525d91,1000,999/1,2026-04-10 09:36:20.58+00
31d046c7-19a5-420d-b37a-595405a592ad,95b1e39e-97c3-4d45-9714-3f507d7c52f1,11,10/1,2026-04-14 03:43:23.059+00
3246b5a9-a756-4774-b2fe-ba58ba79fd45,f99d6725-238c-4d95-8502-9d25b4a6e89e,501,500/1,2026-05-22 13:11:30.343+00
32eedc44-ef87-411a-9191-7897ea9b5d1c,cd984ce3-2f2c-41d5-a7ba-137060caf8ae,351,350/1,2026-06-24 16:55:52.433+00
331ed2b8-7413-4476-b3c2-a13095aac569,61d8b501-96d1-4043-a2b7-de27e9b137d7,550,549/1,2026-04-21 12:08:49.475+00
341d1e69-e3d9-481d-b3e2-597ec82260b4,ddd77a2f-eb9f-4a20-8ae4-e1ca55c21893,201,200/1,2026-07-03 21:35:10.023+00
34563d61-c5a7-4051-b653-cf72e2eba852,95b1e39e-97c3-4d45-9714-3f507d7c52f1,9,8/1,2026-06-17 06:15:57.424+00
345ced21-659c-409a-9dd5-1b4efb0dd630,666ba168-4d8b-4060-8e4b-e1dd7b2a7503,2501,2500/1,2026-06-22 13:54:32.611+00
34ccf3e0-0d5a-4dd1-8392-e731db825566,20160ec3-c507-4fb3-b19d-89cb66c59a98,251,250/1,2026-06-23 11:50:21.932+00
351802b8-8662-43f8-90e1-462735a050cc,95b1e39e-97c3-4d45-9714-3f507d7c52f1,10,9/1,2026-05-22 13:11:30.343+00
3519651f-644b-42f3-8383-dcd9466e3f84,666ba168-4d8b-4060-8e4b-e1dd7b2a7503,2501,2500/1,2026-06-18 12:42:27.657+00
3536522f-d9d1-422c-9cc7-1cf0b75dd829,20160ec3-c507-4fb3-b19d-89cb66c59a98,390,389/1,2026-04-10 09:36:20.58+00
35d09582-c8fa-4d71-bda6-98f73bee5266,c8e5c035-af92-4497-b96c-82f2c0a15214,251,250/1,2026-06-23 11:50:21.932+00
35e4e804-8d0b-4467-967d-73cf394eda6b,e171e736-56f2-44fa-92b5-b0653ea2ce2a,51,50/1,2026-06-23 11:50:21.932+00
3686d658-7af2-4027-9b1f-308ccfaa840c,f2c7a0c3-9a4c-4e3f-92a3-39abff0ce8e2,13,12/1,2026-07-14 20:25:42.493+00
37837821-8b44-4473-a9d5-1a5b6f486843,cd984ce3-2f2c-41d5-a7ba-137060caf8ae,126,125/1,2026-06-26 15:52:43.271+00
37b92202-477d-42fb-b5e1-ba42daf87ddf,cba2c884-3603-4b90-976e-49389b04f562,13,12/1,2026-06-22 13:54:32.611+00
3813833b-6bf4-4471-9ef6-1ef46957f176,6ea9375b-d599-463f-96e6-c87d9209e9b2,6.6,28/5,2026-04-24 21:33:21.013+00
383126a4-a919-41f6-9162-dbb6ae6b44be,20160ec3-c507-4fb3-b19d-89cb66c59a98,410,409/1,2026-04-14 03:43:23.059+00
392264fb-2630-4d97-99be-041c39e8244e,cd984ce3-2f2c-41d5-a7ba-137060caf8ae,101,100/1,2026-05-22 13:11:30.343+00
39bed17a-c517-4c30-a042-301e1cab03c6,622bb3ef-bc6e-4c9a-9efe-aae4d0f95822,1001,1000/1,2026-06-22 13:54:32.611+00
3a18fe60-8808-45bf-9167-1021262f2511,8682004e-e186-4705-aa29-9704b2815dc4,41,40/1,2026-06-15 21:01:48.345+00
3aa9a05b-1bfe-4e5a-9803-891b5e0bd103,66a8014f-0009-400e-928c-6b28cb8dab1f,50,49/1,2026-04-10 09:36:20.58+00
3ad323a1-e2d3-43a7-bafb-064aabb8c9d8,a681c714-630a-487f-b167-9cefea486591,751,750/1,2026-05-22 13:11:30.343+00
3b32ceaa-094a-4b91-b5f3-5d1466587c5e,95b1e39e-97c3-4d45-9714-3f507d7c52f1,5,4/1,2026-07-04 17:05:34.989+00
3b9c081b-a1d4-4588-a487-d3d2e45281c7,a760ffb3-5775-4d7d-b803-cf0087525d91,1001,1000/1,2026-05-22 13:11:30.343+00
3dd22497-57f5-4ed7-8592-be8eae6a3b96,910a4a31-591d-4c32-8b57-b0d0bbde5a26,120,119/1,2026-04-10 09:36:20.58+00
3e006338-da66-4674-a313-0b8108491af6,20e98c7a-4548-44f8-964d-7aba42ae7624,36,35/1,2026-04-10 09:36:20.58+00
3ec7d3be-1960-43bc-a152-b6169d02a974,ee8ecff9-d0b1-4aa8-ab21-da08a6c9229a,67,66/1,2026-05-22 13:11:30.343+00
3ef0f0aa-98de-49be-8af4-b4e6c05a0d57,6527ec07-bc6b-4b53-8bff-90b6f622aece,34,33/1,2026-06-22 13:54:32.611+00
3fd5a0b8-42da-47ae-9891-0d5aac0a2572,cba2c884-3603-4b90-976e-49389b04f562,10,9/1,2026-06-11 12:52:58.271+00
40672b0b-06b8-4884-8b54-714843f87746,1b2fe4cc-3105-4e0b-b1ff-06f91c466ef7,8.4,37/5,2026-04-10 09:59:13.764+00
41c5007e-e491-439e-8b1c-d8cd7c99422e,f27875c8-4818-4323-8d45-333b7f82cf57,2001,2000/1,2026-06-22 13:54:32.611+00
41c6b740-1106-4934-983a-08689bef8586,95b1e39e-97c3-4d45-9714-3f507d7c52f1,4.5,7/2,2026-07-14 20:25:42.493+00
423f9b5c-184b-4995-b55e-de59f7e67399,6ea9375b-d599-463f-96e6-c87d9209e9b2,7.5,13/2,2026-06-28 12:48:00.061+00
42c62fee-6443-4676-ad8e-56da2293209d,87881cf2-7a14-4afa-9912-0ef5b2672387,130,129/1,2026-04-10 09:36:20.58+00
42fdf3fe-66c7-4058-8c03-a9b6db0b71ed,fcc03c57-8857-4986-98b0-0e30fb42ab2a,65,64/1,2026-04-14 03:43:23.059+00
4314c7e2-6074-46e7-b784-8f861a18bbdd,fcc03c57-8857-4986-98b0-0e30fb42ab2a,41,40/1,2026-06-17 06:15:57.424+00
43165a5f-33e9-414c-913e-dfd3b1559946,acfbd82a-7005-41b9-9613-606ceefc857e,110,109/1,2026-04-10 09:36:20.58+00
436f7dc3-30a1-49b6-915a-6605da72a9a4,910a4a31-591d-4c32-8b57-b0d0bbde5a26,130,129/1,2026-04-24 21:33:21.013+00
437ad91c-6f60-41bc-893c-5c5aaf6c1a01,52f066d8-0a7a-42c5-8a6b-103ec4ba2c91,240,239/1,2026-04-24 21:33:21.013+00
43976d0f-aa4a-4160-931d-a4a1e24b12ba,cba2c884-3603-4b90-976e-49389b04f562,10,9/1,2026-04-24 21:33:21.013+00
43ed81da-cd9d-4fc8-a388-6ad225e19d27,54ef8b7c-5afd-4a48-a3b9-d6701dd757f9,201,200/1,2026-06-29 23:44:55.782+00
442cf460-e8c8-49c4-ae1a-c12b6ca91a08,151a98cf-99e8-4e7a-ab57-396a13db4a72,126,125/1,2026-06-18 12:42:27.657+00
4472004a-11fb-4f92-ae9b-34318f3e87dd,7f560d60-00fc-46e1-b81b-4e7234b7cb04,1001,1000/1,2026-06-12 16:38:05.893+00
456a4192-6244-4297-936b-77a01653c53e,eaca3063-d90c-4007-b3d8-ba829b3ee14e,11,10/1,2026-05-29 15:07:51.126+00
45cb7136-9a76-446c-9cc5-6afc74b4eed8,7f560d60-00fc-46e1-b81b-4e7234b7cb04,1000,999/1,2026-04-10 09:36:20.58+00
4673f785-559c-4558-9a50-c98eaefdb72e,f27875c8-4818-4323-8d45-333b7f82cf57,1001,1000/1,2026-05-22 13:11:30.343+00
467e69a0-959a-4312-808d-719ae1837703,8cccecd8-b1ab-4159-bf35-29ef0db369c4,110,109/1,2026-04-10 09:36:20.58+00
479fe14a-a473-4d89-b7c3-9e12c5ae3e7d,eaca3063-d90c-4007-b3d8-ba829b3ee14e,13,12/1,2026-06-29 23:44:55.782+00
48bfeb02-60c1-4d1f-bb04-f12e1cd8f3ce,f959649f-d7be-48e3-9129-58e7fc519606,501,500/1,2026-05-22 13:11:30.343+00
4924b20b-b2d6-4c1a-b095-9701ed3b4509,eaca3063-d90c-4007-b3d8-ba829b3ee14e,12,11/1,2026-07-03 07:33:33.777+00
493806f8-19b0-4a73-8843-268b713273d0,87881cf2-7a14-4afa-9912-0ef5b2672387,81,80/1,2026-05-22 13:11:30.343+00
4b70a2ab-2e8b-4a9f-80e3-a69306e1cd59,1b2fe4cc-3105-4e0b-b1ff-06f91c466ef7,7.5,13/2,2026-06-29 23:44:55.782+00
4b77fe4f-a187-4833-aec9-2d7f874a538d,8682004e-e186-4705-aa29-9704b2815dc4,51,50/1,2026-06-15 20:39:34.157+00
4cac9b06-9e87-4618-8f3e-cc8102fd76a5,ddd77a2f-eb9f-4a20-8ae4-e1ca55c21893,301,300/1,2026-05-22 13:11:30.343+00
4db6e928-7d34-4de3-8a51-afcf1b71d82b,f2c7a0c3-9a4c-4e3f-92a3-39abff0ce8e2,5.5,9/2,2026-05-22 13:11:30.343+00
4ece6ef7-bafc-490d-9fa9-7ec13a41e07b,2044181c-c7e7-4759-8101-4779166812e3,21,20/1,2026-06-17 06:15:57.424+00
4f3089ad-e852-4366-80ed-dfa4104ad758,2044181c-c7e7-4759-8101-4779166812e3,29,28/1,2026-04-10 13:22:25.562+00
4f9727b5-4d34-482d-967b-e1c879cc3954,95b1e39e-97c3-4d45-9714-3f507d7c52f1,5,4/1,2026-07-12 08:29:35.443+00
5061108a-d13f-472a-ba08-f71d833d6b18,b6afbe52-5067-4263-a750-6101f6efedc0,630,629/1,2026-04-21 12:08:49.475+00
5108702c-cadb-4bbd-a331-0c7e5de1d40c,fcc03c57-8857-4986-98b0-0e30fb42ab2a,29,28/1,2026-07-04 17:05:34.989+00
51e77eec-fed9-423f-8b44-45821fcf321e,e176dd2c-4446-4811-b4cc-fc28e9c2ab25,29,28/1,2026-07-01 18:21:56.547+00
5261899b-f55d-4c4b-80a2-eb74257053e0,66a8014f-0009-400e-928c-6b28cb8dab1f,51,50/1,2026-05-22 13:11:30.343+00
52d3c82d-105b-459b-9bcf-67007bbd51c9,d6209663-7a5c-4736-b346-cde299b554b2,251,250/1,2026-06-07 15:15:06.38+00
53dd3373-3262-49cf-8027-c47fdb30ed82,f959649f-d7be-48e3-9129-58e7fc519606,1000,999/1,2026-04-10 09:36:20.58+00
5417b0ca-eca0-4905-b857-d85b651a779a,c8e5c035-af92-4497-b96c-82f2c0a15214,201,200/1,2026-06-30 17:41:19.132+00
54dac4be-2fc7-4c3f-8a26-d92905478d84,910a4a31-591d-4c32-8b57-b0d0bbde5a26,67,66/1,2026-05-22 13:11:30.343+00
5584e59e-37be-4cb7-a6c8-261293a28a13,b6afbe52-5067-4263-a750-6101f6efedc0,301,300/1,2026-05-22 13:11:30.343+00
563f127b-9b94-4447-87de-17e1044515d0,66a8014f-0009-400e-928c-6b28cb8dab1f,50,49/1,2026-04-21 12:08:49.475+00
564e6e57-598f-4694-83bd-1781aac6e9eb,e171e736-56f2-44fa-92b5-b0653ea2ce2a,46,45/1,2026-04-10 09:36:20.58+00
57077553-925b-4e64-b94c-ea3eeb332e31,b6afbe52-5067-4263-a750-6101f6efedc0,501,500/1,2026-06-22 13:54:32.611+00
577c2aed-168f-478b-96fa-0b05fd772455,20e98c7a-4548-44f8-964d-7aba42ae7624,38,37/1,2026-04-21 12:08:49.475+00
5783e717-1122-4809-aaea-144efe5d28a2,e171e736-56f2-44fa-92b5-b0653ea2ce2a,34,33/1,2026-05-22 13:11:30.343+00
582b424a-b838-4e01-b849-b8b8481804d5,b6afbe52-5067-4263-a750-6101f6efedc0,520,519/1,2026-04-10 09:36:20.58+00
59512026-208e-486d-bd6f-a8949c20d6d2,20e98c7a-4548-44f8-964d-7aba42ae7624,40,39/1,2026-04-14 03:43:23.059+00
5a167302-a02b-40fb-ab51-c616eb52e2f5,910a4a31-591d-4c32-8b57-b0d0bbde5a26,201,200/1,2026-06-24 16:55:52.433+00
5a39fb1d-cf13-4ccd-bf39-ad296d43dea5,1270b02b-ff92-4068-a52e-ae90bcae805b,501,500/1,2026-06-29 23:44:55.782+00
5a595762-73cc-4290-ad08-c46877ee4521,eaca3063-d90c-4007-b3d8-ba829b3ee14e,11,10/1,2026-06-24 06:19:29.232+00
5a9e8ba9-2784-4057-b09c-4937f7febbae,8682004e-e186-4705-aa29-9704b2815dc4,34,33/1,2026-07-07 18:08:32.103+00
5b5cfe5b-1f53-4a96-a1e2-1ba680350526,b6afbe52-5067-4263-a750-6101f6efedc0,351,350/1,2026-06-29 23:44:55.782+00
5ca89afd-ee00-4387-a792-17f7f0ea8eba,87881cf2-7a14-4afa-9912-0ef5b2672387,140,139/1,2026-04-21 12:08:49.475+00
5eb2704b-22bc-470d-b1d5-ca6b2bc8d7c9,4f0f3776-f99f-4c06-9eb4-0acd2825d8c2,201,200/1,2026-07-01 18:21:56.547+00
5f96c338-14a9-485f-b777-2aacc0d7cd81,eaca3063-d90c-4007-b3d8-ba829b3ee14e,11,10/1,2026-06-18 12:42:27.657+00
60690b33-4160-4ea9-b5af-b6d643a648f0,622bb3ef-bc6e-4c9a-9efe-aae4d0f95822,751,750/1,2026-06-18 12:42:27.657+00
616077d1-6914-4c14-bc1f-8280a9b17fb9,1b2fe4cc-3105-4e0b-b1ff-06f91c466ef7,4,3/1,2026-07-12 00:11:35.213+00
61fa4ed2-9306-446e-a338-6c7d9df1adaa,1270b02b-ff92-4068-a52e-ae90bcae805b,1000,999/1,2026-04-10 09:36:20.58+00
624f50f4-d975-4cdb-96a2-4324cae290c4,4f0f3776-f99f-4c06-9eb4-0acd2825d8c2,101,100/1,2026-06-29 11:00:02.429+00
624fcbb2-70bd-48a6-b31a-21de0d30785f,e176dd2c-4446-4811-b4cc-fc28e9c2ab25,51,50/1,2026-06-22 13:54:32.611+00
6268000b-5d86-48e1-83e4-a4d29dd73634,8682004e-e186-4705-aa29-9704b2815dc4,29,28/1,2026-06-07 15:15:06.38+00
62e86926-d911-48e3-9545-d07d844c6b09,6ea9375b-d599-463f-96e6-c87d9209e9b2,1.91,10/11,2026-07-14 20:25:42.493+00
636ffc41-3f4a-4c6f-aaa1-9a4797a40e7b,eaca3063-d90c-4007-b3d8-ba829b3ee14e,21,20/1,2026-07-03 00:29:22.121+00
63744e74-5867-4f75-9f29-2ba8e74354d8,4f0f3776-f99f-4c06-9eb4-0acd2825d8c2,126,125/1,2026-06-23 11:50:21.932+00
6492bbb3-23e8-4c4d-8600-121b113c669a,4f0f3776-f99f-4c06-9eb4-0acd2825d8c2,201,200/1,2026-06-24 16:55:52.433+00
6895f003-9655-4caa-82f2-dc5b1e6fcbe9,f99d6725-238c-4d95-8502-9d25b4a6e89e,201,200/1,2026-06-22 13:54:32.611+00
68e6bfd3-dbdf-44c3-a51f-24aa79304469,4976e7fd-9b45-4cc7-b741-fe801fcee2d0,490,489/1,2026-04-24 21:33:21.013+00
69da8bcc-3354-4f90-8360-eb24f7dd98bb,eaca3063-d90c-4007-b3d8-ba829b3ee14e,13,12/1,2026-06-23 11:50:21.932+00
6a420d32-92f1-426a-88f7-ebd6855f506d,ddd77a2f-eb9f-4a20-8ae4-e1ca55c21893,201,200/1,2026-06-15 20:39:34.157+00
6a7b2180-0b66-447c-9119-7921bdde14f7,4f0f3776-f99f-4c06-9eb4-0acd2825d8c2,126,125/1,2026-06-14 18:43:53.623+00
6b5dc290-96fd-44af-8bdf-3128c77e7322,52eaa3b4-081b-4393-b291-d69c644c612e,351,350/1,2026-07-01 18:21:56.547+00
6be8e87c-9c6a-4671-a8ed-c2a9f9cb25a9,f2c7a0c3-9a4c-4e3f-92a3-39abff0ce8e2,2.88,15/8,2026-07-01 18:21:56.547+00
6d52e60b-d87e-494c-a3fa-cb7f9efe8689,6527ec07-bc6b-4b53-8bff-90b6f622aece,34,33/1,2026-06-29 23:44:55.782+00
6f1d705a-f731-49ad-aec1-fcaefef96a89,fcc03c57-8857-4986-98b0-0e30fb42ab2a,23,22/1,2026-07-05 12:22:50.646+00
70fe22bb-6fe5-413b-95f1-953fe6e82f5a,acfbd82a-7005-41b9-9613-606ceefc857e,41,40/1,2026-07-11 10:23:08.702+00
71c3fe9e-67a8-40b3-ab7f-50cb57ac1ca7,95b1e39e-97c3-4d45-9714-3f507d7c52f1,5,4/1,2026-06-28 08:32:12.813+00
